鄉鎮市區別,村里別,投票所別,第一組候選人,第二組候選人,第三組候選人,有效票數,無效票數,投票數,已領未投票數,發出票數,用餘票數,選舉人數,投票率
-,-,-,朱立倫、王如玄,蔡英文、陳建仁,宋楚瑜、徐欣瑩,-,-,-,-,-,-,-,-
鳥松區,鳥松里,726,313,686,106,1105,11,1116,0,1116,522,1638,68.13
鳥松區,鳥松里,727,235,635,97,967,14,981,0,981,615,1596,61.47
鳥松區,鳥松里,728,210,538,85,833,9,842,0,842,365,1207,69.76
鳥松區,鳥松里,729,197,491,78,766,8,774,0,774,511,1285,60.23
鳥松區,鳥松里,730,194,377,100,671,7,678,0,678,424,1102,61.52
鳥松區,鳥松里,731,255,763,105,1123,14,1137,0,1137,522,1659,68.54
鳥松區,鳥松里,732,139,506,77,722,12,734,0,734,410,1144,64.16
鳥松區,夢裡里,733,246,559,85,890,14,904,0,904,370,1274,70.96
鳥松區,夢裡里,734,126,501,48,675,7,682,0,682,286,968,70.45
鳥松區,夢裡里,735,396,742,132,1270,15,1285,0,1285,767,2052,62.62
鳥松區,大華里,736,316,713,100,1129,15,1144,0,1144,422,1566,73.05
鳥松區,大華里,737,327,567,125,1019,15,1037,0,1037,453,1487,69.54
鳥松區,大華里,738,254,554,85,893,18,911,0,911,384,1295,70.35
鳥松區,大華里,739,333,644,111,1088,19,1107,0,1107,520,1627,68.04
鳥松區,大華里,740,329,691,103,1123,11,1134,0,1134,423,1557,72.83
鳥松區,大華里,741,348,673,106,1127,14,1141,0,1141,522,1663,68.61
鳥松區,坔埔里,742,144,583,78,805,7,812,0,812,348,1160,70
鳥松區,坔埔里,743,143,597,87,827,8,835,0,835,336,1171,71.31
鳥松區,坔埔里,744,142,543,64,749,11,760,0,760,316,1076,70.63
鳥松區,仁美里,745,120,664,87,871,6,877,0,877,370,1247,70.33
鳥松區,仁美里,746,185,636,101,922,7,929,0,929,412,1341,69.28
鳥松區,仁美里,747,150,602,106,858,7,865,0,865,461,1326,65.23
鳥松區,仁美里,748,186,510,66,762,7,769,0,769,435,1204,63.87
鳥松區,仁美里,749,162,483,74,719,7,726,0,726,306,1032,70.35
鳥松區,大竹里,750,85,340,27,452,7,459,0,459,182,641,71.61
鳥松區,華美里,751,183,590,86,859,5,864,0,864,389,1253,68.95
鳥松區,華美里,752,214,575,93,882,12,894,0,894,374,1268,70.5
鳥松區,華美里,753,248,560,83,891,17,908,0,908,387,1295,70.12
